label,nilai,satuan,kalimat_siap_tempel,sumber_sel_notebook
A-01,100000.0,baris,"100,000 ulasan",ml/src/eda.py :: run_all()
A-02,21910.0,baris,"21,910 baris (21.9%) tidak mencantumkan versi aplikasi",ml/src/eda.py :: run_all()
A-03,32101.0,baris,"32,101 ulasan (32.1%) merupakan duplikat teks",ml/src/eda.py :: run_all()
A-11,23178.0,ulasan,"bintang 1: 23,178 ulasan (23.2%)",ml/src/eda.py :: run_all()
A-12,3554.0,ulasan,"bintang 2: 3,554 ulasan (3.6%)",ml/src/eda.py :: run_all()
A-13,3534.0,ulasan,"bintang 3: 3,534 ulasan (3.5%)",ml/src/eda.py :: run_all()
A-14,5083.0,ulasan,"bintang 4: 5,083 ulasan (5.1%)",ml/src/eda.py :: run_all()
A-15,64651.0,ulasan,"bintang 5: 64,651 ulasan (64.7%)",ml/src/eda.py :: run_all()
A-20,4.4,kata,"ulasan bintang 5 rata-rata hanya 4.4 kata, sementara bintang 1 mencapai 20.8 kata",ml/src/eda.py :: run_all()
A-21,39859.0,ulasan,"39,859 ulasan (39.9%) hanya berisi dua kata atau kurang",ml/src/eda.py :: run_all()
A-22,546.0,ulasan,"pada kelas negatif hanya 2.0% ulasan yang merupakan duplikat teks, dibanding 44.8% pada kelas positif",ml/src/eda.py :: run_all()
A-23,72.3,%,baseline mayoritas pada skema biner adalah 72.3% — angka yang harus dikalahkan model,ml/src/eda.py :: run_all()
A-24,3534.0,ulasan,"kelas netral hanya 3,534 ulasan (3.5%), rasio 1:19 terhadap kelas positif",ml/src/eda.py :: run_all()
A-30,291.0,versi,terdapat 291 versi aplikasi unik,ml/src/eda.py :: run_all()
A-40,83.719,%,83.7% ulasan tidak pernah mendapat satu pun like,ml/src/eda.py :: run_all()
